
	ON SECURITY SYSTEM WINDOW 
	ON MODIFICATION OF FILES WINDOW 
		Mon Sep 03 23:22:38 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:22:50 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:24:00 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:24:01 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Mon Sep 03 23:24:03 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:24:03 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:24:04 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:24:10 2018

	ON MODIFICATION OF FILES WINDOW 
		Mon Sep 03 23:24:12 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:24:16 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:38:37 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:38:38 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Mon Sep 03 23:38:39 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:38:40 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:38:41 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:38:47 2018

	ON MODIFICATION OF FILES WINDOW 
		Mon Sep 03 23:38:48 2018

	ON REFRESH REFRAL CODE FILE WINDOW 
		Mon Sep 03 23:38:52 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:38:56 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:42:41 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 03 23:42:42 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:42:44 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 03 23:42:45 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:42:48 2018

	IN THE SHOP
		Mon Sep 03 23:42:49 2018

	WENT TO PURCHASE ITEM
		Mon Sep 03 23:42:50 2018

	PURCHASED 2 a
		Mon Sep 03 23:42:55 2018
			DEPOSITED 236
				NET BALANCE LEFT IN ADMIN ACCOUNT : 347.8
	ON THE MAIN SCRREN
		Mon Sep 03 23:42:57 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 03 23:42:58 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:43:03 2018

	IN THE SHOP
		Mon Sep 03 23:43:04 2018

	WENT TO PURCHASE ITEM
		Mon Sep 03 23:43:04 2018

	PURCHASED 1 mouse
		Mon Sep 03 23:43:10 2018
			DEPOSITED 11.8
				NET BALANCE LEFT IN ADMIN ACCOUNT : 359.6
	ON THE MAIN SCRREN
		Mon Sep 03 23:43:11 2018

	SEEN THE ITEMS IN THE SHOP
		Mon Sep 03 23:43:13 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:43:16 2018

	IN THE SHOP
		Mon Sep 03 23:43:18 2018

	WENT TO PURCHASE ITEM
		Mon Sep 03 23:43:18 2018

	PURCHASED 1 tv
		Mon Sep 03 23:43:25 2018
			DEPOSITED 11.8
				NET BALANCE LEFT IN ADMIN ACCOUNT : 371.4
	ON THE MAIN SCRREN
		Mon Sep 03 23:43:44 2018

	IN THE SHOP
		Mon Sep 03 23:43:46 2018

	WENT TO RETURN ITEM
		Mon Sep 03 23:43:47 2018

	RETURNED 1 tv
		Mon Sep 03 23:44:05 2018
			DEBITTED 5
				NET BALANCE LEFT IN ADMIN ACCOUNT : 366.4
	ON THE MAIN SCRREN
		Mon Sep 03 23:44:07 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:44:30 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:44:31 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:44:37 2018

	ON MODIFICATION OF FILES WINDOW 
		Mon Sep 03 23:44:39 2018

	ON REFRESH REFRAL CODE FILE WINDOW 
		Mon Sep 03 23:44:40 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:50:27 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:50:28 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:50:33 2018

	ON MODIFICATION OF FILES WINDOW 
		Mon Sep 03 23:50:36 2018

	ON REFRAL FILE WINDOW 
		Mon Sep 03 23:50:39 2018

	ON REFRAL FILE WINDOW 
		Mon Sep 03 23:50:44 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:50:46 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:57:19 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:57:20 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Mon Sep 03 23:57:23 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:57:23 2018

	ON THE ADMIN PORTAL
		Mon Sep 03 23:57:24 2018

	LOGINED IN THE ADMIN PORTAL
		Mon Sep 03 23:57:29 2018

	ON PROFILE WINDOW 
		Mon Sep 03 23:57:33 2018

	ON ADMIN NAME CHANGE WINDOW 
		Mon Sep 03 23:57:35 2018

	ON PROFILE WINDOW 
		Mon Sep 03 23:57:46 2018

	ON ADMIN NAME CHANGE WINDOW 
		Mon Sep 03 23:57:47 2018

	ON THE MAIN SCRREN
		Mon Sep 03 23:57:55 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:05:42 2018

	ON THE ADMIN PORTAL
		Tue Sep 04 00:05:43 2018

	LOGINED IN THE ADMIN PORTAL
		Tue Sep 04 00:05:48 2018

	ON BANK ACCOUNT WINDOW 
		Tue Sep 04 00:05:50 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Tue Sep 04 00:05:58 2018

	ON BANK ACCOUNT WINDOW 
		Tue Sep 04 00:06:01 2018

	ON THE ACCOUNT DETAILS WINDOW
		Tue Sep 04 00:06:02 2018

	ON BANK ACCOUNT WINDOW 
		Tue Sep 04 00:06:03 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:06:06 2018

	ON THE REMOVING WINDOW
		Tue Sep 04 00:06:12 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:06:18 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:06:20 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:06:20 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:06:23 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF TV
			Tue Sep 04 00:06:24 2018

	ADDED NEW ITEM IN THE SHOP 
		6 COPIES OF TV
			Tue Sep 04 00:06:52 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF TV
			Tue Sep 04 00:07:17 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF d
			Tue Sep 04 00:07:55 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:08:09 2018

	ON THE REMOVING WINDOW
		Tue Sep 04 00:08:12 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:08:13 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF MONITOR
			Tue Sep 04 00:08:15 2018

	ADDED NEW ITEM IN THE SHOP 
		6 COPIES OF MONITOR
			Tue Sep 04 00:08:32 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF MONITOR
			Tue Sep 04 00:08:57 2018

	ADDED NEW ITEM IN THE SHOP 
		5 COPIES OF MONITOR
			Tue Sep 04 00:09:34 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:10:04 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:10:06 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:10:10 2018

	ADDED NEW ITEM IN THE SHOP 
		8 COPIES OF MOUSE
			Tue Sep 04 00:10:11 2018

	ADDED NEW ITEM IN THE SHOP 
		7 COPIES OF MOUSE
			Tue Sep 04 00:11:50 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF MOUSE
			Tue Sep 04 00:12:13 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF MOUSE
			Tue Sep 04 00:12:37 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:13:07 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:13:09 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:13:22 2018

	ON THE REMOVING WINDOW
		Tue Sep 04 00:13:24 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:13:47 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:13:48 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:13:50 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF MONITOR
			Tue Sep 04 00:14:01 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:14:35 2018

	ON THE REMOVING WINDOW
		Tue Sep 04 00:14:36 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:14:40 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:14:43 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:14:44 2018

	ADDED NEW ITEM IN THE SHOP 
		5 COPIES OF MONITOR
			Tue Sep 04 00:14:47 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF MONITOR
			Tue Sep 04 00:15:02 2018

	ADDED NEW ITEM IN THE SHOP 
		6 COPIES OF MONITOR
			Tue Sep 04 00:15:17 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:15:55 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:15:57 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:16:06 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF MOUSE
			Tue Sep 04 00:16:07 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:16:35 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:16:36 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:16:38 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF MOUSE
			Tue Sep 04 00:16:40 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF MOUSE
			Tue Sep 04 00:17:01 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF MOUSE
			Tue Sep 04 00:17:29 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:17:54 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:17:57 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:18:03 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF KEYBOARD
			Tue Sep 04 00:18:05 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF KEYBOARD
			Tue Sep 04 00:18:51 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:19:19 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:19:21 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:19:49 2018

	ADDED NEW ITEM IN THE SHOP 
		5 COPIES OF KEYBOARD
			Tue Sep 04 00:19:52 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF KEYBOARD
			Tue Sep 04 00:20:16 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:20:57 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:20:59 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:21:08 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF SPEAKER
			Tue Sep 04 00:21:11 2018

	ADDED NEW ITEM IN THE SHOP 
		5 COPIES OF SPEAKER
			Tue Sep 04 00:22:05 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:22:29 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:22:31 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:22:33 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF RAM
			Tue Sep 04 00:22:35 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF RAM
			Tue Sep 04 00:23:08 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:23:46 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:23:47 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:23:52 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF CPU
			Tue Sep 04 00:23:54 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF CPU
			Tue Sep 04 00:24:20 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF CPU
			Tue Sep 04 00:24:57 2018

	ADDED NEW ITEM IN THE SHOP 
		2 COPIES OF CPU
			Tue Sep 04 00:25:58 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:26:19 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:26:20 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:26:27 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF DESKTOP
			Tue Sep 04 00:26:28 2018

	ADDED NEW ITEM IN THE SHOP 
		4 COPIES OF DESKTOP
			Tue Sep 04 00:27:26 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF DESKTOP
			Tue Sep 04 00:27:42 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:28:01 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:28:05 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:28:13 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF DESKTOP
			Tue Sep 04 00:28:14 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:28:38 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:28:40 2018

	ON THE MODIFICATION WINDOW
		Tue Sep 04 00:28:42 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:28:46 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:28:47 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:28:48 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:38:13 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:39:33 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:40:52 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:42:10 2018

	ON THE ADMIN PORTAL
		Tue Sep 04 00:42:19 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Tue Sep 04 00:42:27 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:42:32 2018

	ON THE ADMIN PORTAL
		Tue Sep 04 00:42:35 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Tue Sep 04 00:42:42 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:42:44 2018

	IN THE SHOP
		Tue Sep 04 00:42:47 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:42:50 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:42:59 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:00 2018

	IN THE SHOP
		Tue Sep 04 00:43:00 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:00 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:00 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:01 2018

	IN THE SHOP
		Tue Sep 04 00:43:01 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:01 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:01 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:02 2018

	IN THE SHOP
		Tue Sep 04 00:43:02 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:02 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:02 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:03 2018

	IN THE SHOP
		Tue Sep 04 00:43:03 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:03 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:03 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:04 2018

	IN THE SHOP
		Tue Sep 04 00:43:04 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:04 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:04 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:05 2018

	IN THE SHOP
		Tue Sep 04 00:43:05 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:05 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:05 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:05 2018

	IN THE SHOP
		Tue Sep 04 00:43:05 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:43:05 2018

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Sep 04 00:43:05 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:43:52 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:43:55 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:44:31 2018

	IN THE SHOP
		Tue Sep 04 00:44:32 2018

	WENT TO PURCHASE ITEM
		Tue Sep 04 00:44:34 2018

	PURCHASED 1 DESKTOP
		Tue Sep 04 00:45:23 2018
			DEPOSITED 84.959999
				NET BALANCE LEFT IN ADMIN ACCOUNT : 9414.559999
	ON THE MAIN SCRREN
		Tue Sep 04 00:45:45 2018

	IN THE SHOP
		Tue Sep 04 00:45:47 2018

	WENT TO RETURN ITEM
		Tue Sep 04 00:45:48 2018

	RETURNED 1 DESKTOP
		Tue Sep 04 00:46:21 2018
			DEBITTED 36
				NET BALANCE LEFT IN ADMIN ACCOUNT : 9378.559999
	ON THE MAIN SCRREN
		Tue Sep 04 00:46:38 2018

	SEEN THE ITEMS IN THE SHOP
		Tue Sep 04 00:46:41 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:46:43 2018

	ON THE ADMIN PORTAL
		Tue Sep 04 00:46:44 2018

	LOGINED IN THE ADMIN PORTAL
		Tue Sep 04 00:46:51 2018

	ON THE MAIN SCRREN
		Tue Sep 04 00:47:05 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:43:45 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:43:47 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:43:59 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:46:16 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:46:18 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:46:29 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:47:07 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:47:08 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:47:19 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:47:39 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:47:41 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:47:52 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:48:13 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:48:14 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:48:21 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:48:37 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:48:38 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:48:50 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:49:00 2018

	SEEN THE ITEMS IN THE SHOP
		Thu Sep 13 21:49:01 2018

	ON THE MAIN SCRREN
		Thu Sep 13 21:49:06 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:11:21 2018

	SEEN THE ITEMS IN THE SHOP
		Fri Sep 14 19:11:22 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:11:44 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:11:45 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 19:11:52 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 19:11:53 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:11:55 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:12:13 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 19:12:19 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:12:25 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:17:34 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:18:41 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 19:18:42 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 19:18:45 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:18:47 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:19:15 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:19:24 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:23:43 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:23:44 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 19:23:46 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:23:46 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:23:47 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 19:23:49 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 19:23:50 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:23:51 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:24:03 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:24:17 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:26:11 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:26:12 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 19:26:13 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 19:26:14 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:26:15 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:26:24 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:26:26 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:26:35 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 19:26:41 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:26:47 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:58:35 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:58:35 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 19:58:38 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 19:58:40 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:58:43 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:58:47 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:59:30 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:59:31 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 19:59:33 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:59:33 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 19:59:34 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 19:59:36 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 19:59:37 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 19:59:38 2018

	ON THE MAIN SCRREN
		Fri Sep 14 19:59:48 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:01:16 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:01:16 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:01:18 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:01:18 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:01:19 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:01:26 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:03:44 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:03:45 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:03:46 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:03:48 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:03:49 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:04:10 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:05:38 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:05:39 2018

